time, length
0,58790
1,58640
2,59590
3,60760
4,62370
5,61730
6,60320
7,60370
8,59990
9,58320
10,56960
11,55670
12,55370
13,56130
14,56420
15,60800
16,60790
17,60620
18,60160
19,59740
20,59720
21,60630
22,60520
23,60480
24,60100
25,60360
26,59470
27,59820
28,59500
29,60420
30,60890
31,61390
32,61230
33,61000
34,65060
35,64910
36,64660
37,63190
38,63410
39,63450
40,59950
41,53090
42,53080
43,55350
44,54930
45,55200
46,55840
47,55450
48,57120
49,57090
50,57420
51,49280
52,51160
53,51430
54,51700
55,52000
56,51580
57,51610
58,51910
59,51750
60,51730
61,51780
62,52380
63,53160
64,54510
65,54330
66,47920
67,47680
68,50160
69,49950
70,49810
71,50020
72,49020
73,48590
74,48640
75,48450
76,54540
77,54630
78,54790
79,54270
80,54720
81,53620
82,53740
83,53930
84,53330
85,54270
86,56720
87,56910
88,57050
89,56840
90,57020
91,54420
92,54430
93,54410
94,54380
95,54320
96,54240
97,54040
98,53480
99,53910
100,53810
101,53020
102,52930
103,52890
104,50630
105,50470
106,50580
107,50810
108,50740
109,51520
110,51590
111,47560
112,47280
113,47030
114,46850
115,46560
116,47980
117,47700
118,47940
119,47550
120,47120
121,44200
122,45120
123,45060
124,45200
125,45690
126,46170
127,46260
128,46360
129,46280
130,45900
131,44270
132,46910
133,44620
134,44410
135,44250
136,44750
137,45020
138,44690
139,44790
140,44040
141,45460
142,45340
143,43750
144,43490
145,43280
146,42530
147,41990
148,42880
149,43480
150,43620
151,49690
152,49560
153,49330
154,49150
155,49260
156,49300
157,48780
158,49020
159,48750
160,49070
161,43500
162,43370
163,43270
164,43190
165,43250
166,42840
167,43610
168,43580
169,42780
170,42690
171,44110
172,44010
173,44030
174,43730
175,44110
176,43990
177,43980
178,43890
179,43900
180,43690
181,43700
182,43710
183,43600
184,43020
185,42610
186,43400
187,42920
188,42410
189,41840
190,38910
191,41010
192,40310
193,40200
194,40110
195,40060
196,40240
197,40350
198,40040
199,40180
200,40210
201,40850
202,40830
203,40910
204,40650
205,40660
206,40840
207,40940
208,40740
209,40330
210,40370
211,40270
212,40370
213,40190
214,40510
215,40420
216,40300
217,40360
218,40150
219,40220
220,40070
221,39930
222,40000
223,40180
224,40180
225,40100
226,40270
227,40130
228,40040
229,40320
230,40660
231,36790
232,35390
233,35420
234,35470
235,35630
236,35700
237,35670
238,35610
239,37220
240,36870
241,36900
242,37090
243,37780
244,37860
245,39020
246,39100
247,39280
248,39110
249,39160
250,39780
251,42640
252,42350
253,40160
254,46090
255,46030
256,46840
257,46920
258,47120
259,47400
260,46200
261,45310
262,45290
263,45170
264,46130
265,45900
266,45520
267,45810
268,45530
269,45310
270,40210
271,38930
272,38260
273,38210
274,37980
275,38140
276,37040
277,37020
278,36920
279,36880
280,34960
281,34780
282,34650
283,34380
284,34650
285,34660
286,35290
287,36070
288,35750
289,36230
290,35780
291,35940
292,35780
293,36250
294,36070
295,35820
296,36240
297,36550
298,36590
299,37010
300,35980
301,40660
302,40690
303,40660
304,40360
305,40100
306,40180
307,40220
308,39730
309,40420
310,39800
311,41880
312,42240
313,41960
314,42170
315,42480
316,42930
317,42430
318,41770
319,41780
320,41630
321,38940
322,38940
323,38840
324,38900
325,39190
326,39180
327,39410
328,39360
329,39420
330,35670
331,33450
332,33250
333,33480
334,33090
335,33240
336,33560
337,32800
338,32160
339,32340
340,23670
341,23330
342,23640
343,23420
344,23100
345,23180
346,23490
347,23530
348,23530
349,24950
350,29150
351,28910
352,29140
353,29040
354,29870
355,31340
356,31240
357,30150
358,30040
359,30250
360,27850
361,26980
362,27070
363,26960
364,27550
365,28920
366,28630
367,28300
368,28220
369,28280
370,31580
371,30930
372,31230
373,30220
374,30660
375,32450
376,31850
377,32420
378,32540
379,32600
380,43670
381,43620
382,43230
383,43710
384,43950
385,43690
386,44010
387,44540
388,44540
389,44420
390,38310
391,38870
392,38790
393,38680
394,38930
395,38540
396,38580
397,38730
398,38530
399,38300
400,41300
401,39770
402,39260
403,39820
404,39570
405,39580
406,39280
407,38720
408,38880
409,38660
410,38590
