# Age (Ma)	mean (287 km from trench)	min (106 km from trench)	max (448 km from trench) Continental arc length (km)	
0	44480	41500	45640
1	43860	39410	44740
2	42980	38300	43820
3	43010	37850	43790
4	42830	37580	43890
5	42550	37260	43690
6	41740	36380	42720
7	42140	36570	42820
8	41830	36140	42550
9	41380	35290	42200
10	41420	36060	42210
11	42660	35810	43600
12	42720	35470	43570
13	42960	35710	43580
14	42550	35460	43130
15	44770	37230	45700
16	44650	37000	45820
17	44460	36910	45690
18	45110	37000	46570
19	44860	36130	46520
20	44730	35460	46420
21	45550	36050	46980
22	44800	35200	46340
23	44610	35310	46290
24	41650	32680	43240
25	40130	32010	41790
26	41190	33270	41910
27	42030	34590	42880
28	41780	34630	42680
29	42580	35360	43570
30	43690	36510	44790
31	45370	38240	46270
32	44980	38120	46100
33	45070	38050	46190
34	44430	37340	45810
35	44640	37160	45790
36	44110	36830	45930
37	42910	35670	44730
38	42640	35480	44870
39	42550	35020	44840
40	43360	35730	45510
41	45280	37570	47230
42	45080	37670	47270
43	44760	37750	47110
44	44570	37950	47360
45	45310	38810	47770
46	48390	43310	49210
47	47270	40430	48450
48	47890	40960	49140
49	48780	41810	49960
50	48690	41550	49590
51	46460	39570	47100
52	49140	42080	49770
53	48720	41510	49450
54	48450	41280	49190
55	48330	41030	49010
56	46620	39290	48300
57	46400	39030	47990
58	46210	38980	48160
59	46390	38690	48440
60	46210	38820	47840
61	46380	38760	47940
62	46450	38800	48090
63	46180	38200	48210
64	46610	38490	49800
65	47670	38780	50540
66	44970	37230	47720
67	45300	37250	47970
68	45770	37660	47730
69	46000	37810	47740
70	46070	38330	47820
71	42680	34930	44410
72	41070	33310	42930
73	41410	33400	43130
74	41590	33050	43190
75	42760	33120	45120
76	44680	35770	47850
77	44630	35810	48250
78	44890	36110	48590
79	44800	36210	48390
80	47760	39130	51540
81	46370	36980	50060
82	46610	37180	50150
83	46730	36920	50620
84	46740	36870	50650
85	49040	37980	52930
86	51620	40240	54070
87	50730	39670	53480
88	50730	39460	53370
89	50540	38990	53290
90	50810	38860	53320
91	49990	39090	52790
92	50970	40350	53110
93	50930	40800	52920
94	51100	40930	52750
95	51010	41020	52750
96	49480	40050	51810
97	49250	40070	51670
98	49400	39950	51740
99	49480	39710	51810
100	50000	41560	51530
101	50630	42010	52320
102	48990	40450	51300
103	49220	39890	51000
104	46690	38020	48360
105	46290	38000	48000
106	46260	37850	48020
107	46380	37870	48140
108	46340	37880	48000
109	46520	37540	48130
110	47210	37940	48790
111	46870	37950	48150
112	46890	37790	48220
113	46380	37030	48100
114	46580	37290	48290
115	45410	36500	47910
116	42660	34280	44930
117	42410	34100	46060
118	42270	34040	46920
119	42230	34190	47580
120	41710	33600	47180
121	43050	34350	47510
122	43950	34470	47580
123	44090	34500	47640
124	44540	35260	47790
125	44750	35970	48000
126	45540	37050	47500
127	45900	37350	47900
128	46050	37610	48080
129	46240	37430	48260
130	46480	37710	48150
131	49990	41270	52000
132	48560	39480	50300
133	48570	39770	50240
134	48570	40070	50360
135	48750	40440	51240
136	45940	38580	49230
137	45930	38540	49490
138	46350	38910	50150
139	46870	38920	50870
140	46100	37690	50250
141	45080	33540	52230
142	45260	33740	52720
143	45400	33280	52690
144	45030	32640	52110
145	45880	32100	52570
146	48080	32740	53030
147	48330	32740	53650
148	48190	32880	54370
149	48380	32410	54510
150	49660	33160	55050
151	49320	33070	55110
152	49650	33390	55080
153	50020	34150	55370
154	50140	34550	55460
155	50050	34410	55400
156	49680	33890	55330
157	49410	33650	54920
158	49450	33660	54870
159	49490	33200	55030
160	49540	33370	55280
161	44530	29600	48760
162	44450	29270	48680
163	44370	29040	48550
164	44170	28620	48520
165	44070	28940	48630
166	43960	28110	48590
167	44280	28470	48550
168	44460	28170	48560
169	43700	27000	47750
170	43670	26890	47610
171	43260	26320	47280
172	43220	26150	47080
173	43270	26160	46990
174	43110	26560	46870
175	43220	26470	46880
176	43050	26550	46800
177	42980	26640	46810
178	43030	26570	46710
179	42840	26440	46580
180	42660	26320	46480
181	41310	28040	45010
182	40830	27930	44540
183	40670	27990	44330
184	40320	27570	43990
185	40080	27470	43680
186	39670	27550	43510
187	40240	27860	43910
188	40010	27990	43800
189	40000	27820	43830
190	39740	26400	43840
191	40290	28820	45160
192	40340	28560	45170
193	40310	28410	44810
194	39950	28340	44390
195	39950	28350	44310
196	39190	27840	44270
197	39010	28070	44280
198	38920	27810	44350
199	38910	27710	44330
200	38880	27950	44280
201	42010	29660	47570
202	41390	28960	47400
203	41220	28790	47260
204	40810	28610	46850
205	40900	28660	46550
206	40540	28170	46200
207	40850	28100	46080
208	40500	27930	46110
