> Time (Ma)	Long-term sea level (m)
0	70.00
1	66.01
2	64.22
3	68.42
4	70.40
5	74.74
6	73.06
7	75.32
8	76.89
9	71.22
10	76.65
11	74.32
12	77.38
13	80.35
14	76.17
15	77.72
16	72.65
17	73.68
18	76.53
19	75.73
20	77.66
21	75.08
22	76.54
23	77.10
24	78.18
25	84.94
26	82.54
27	81.52
28	82.49
29	81.42
30	84.19
31	80.31
32	87.74
33	92.35
34	94.95
35	98.61
36	98.20
37	101.30
38	101.19
39	106.38
40	110.12
41	104.65
42	109.17
43	114.68
44	119.93
45	123.92
46	121.32
47	119.13
48	124.14
49	129.65
50	132.88
51	126.47
52	130.39
53	130.36
54	132.74
55	136.86
56	135.22
57	141.51
58	144.34
59	151.43
60	157.10
61	158.61
62	164.36
63	169.44
64	173.19
65	176.32
66	180.23
67	185.05
68	175.81
69	179.60
70	181.96
71	179.21
72	180.57
73	181.44
74	181.62
75	183.02
76	182.83
77	184.37
78	185.37
79	186.04
80	185.12
81	179.18
82	179.32
83	175.02
84	176.80
85	177.03
86	160.30
87	159.88
88	162.05
89	159.08
90	162.18
91	161.90
92	164.70
93	166.95
94	169.06
95	172.27
96	171.40
97	174.00
98	177.53
99	181.79
100	184.76
101	179.94
102	181.47
103	184.19
104	184.81
105	186.69
106	189.15
107	191.28
108	193.11
109	193.12
110	194.36
111	191.71
112	189.20
113	187.20
114	189.16
115	188.24
116	186.97
117	185.44
118	183.91
119	175.37
120	176.38
121	143.36
122	133.90
123	125.06
124	117.05
125	105.55
126	97.27
127	87.25
128	77.55
129	62.83
130	51.58
131	38.88
132	31.17
133	26.84
134	20.13
135	14.17
136	-0.28
137	-8.46
138	-18.45
139	-23.00
140	-29.44
141	-32.41
142	-38.80
143	-47.31
144	-52.71
145	-58.53
146	-67.14
147	-56.68
148	-61.22
149	-65.41
150	-71.65
151	-82.01
152	-86.43
153	-90.54
154	-95.83
155	-97.04
156	-98.50
157	-99.03
158	-99.37
159	-103.33
160	-100.01
161	-97.76
162	-99.50
163	-100.62
164	-100.38
165	-102.12
166	-101.46
167	-101.71
168	-98.22
169	-99.50
170	-102.03
171	-101.85
172	-100.83
173	-103.33
174	-105.67
175	-107.42
176	-110.11
177	-111.16
178	-112.41
179	-113.32
180	-115.52
181	-115.02
182	-111.29
183	-106.26
184	-102.22
185	-98.01
186	-93.75
187	-90.08
188	-86.13
189	-84.92
190	-81.97
191	-79.08
192	-76.02
193	-73.55
194	-71.29
195	-69.07
196	-66.70
197	-63.48
198	-61.20
199	-60.96
200	-57.94
