# Age (Ma)	Total exposed land (Mio km2)
0.00	148.53
1.16	148.53
1.81	148.47
2.26	148.47
2.72	148.47
3.17	148.47
3.62	148.47
4.07	148.47
4.52	148.47
4.97	148.47
5.42	148.47
5.87	148.47
6.32	148.47
6.77	148.47
7.36	148.46
8.03	148.33
8.57	148.18
9.02	148.18
9.47	148.18
9.92	148.18
10.37	148.18
10.82	148.18
11.27	148.18
11.84	148.10
12.62	147.90
13.19	147.88
13.97	147.61
14.42	147.61
14.87	147.61
15.32	147.46
15.69	147.37
16.22	147.32
16.79	147.31
17.57	147.03
18.02	147.03
18.59	146.95
19.37	146.75
19.82	146.75
20.27	146.75
20.84	146.67
21.62	146.46
22.07	146.46
22.52	146.46
22.97	146.46
23.42	146.46
23.87	146.46
24.46	146.47
25.12	146.60
25.67	146.75
26.12	146.75
26.57	146.75
27.02	146.75
27.47	146.75
27.92	146.75
28.37	146.60
28.75	146.51
29.27	146.46
29.72	146.46
30.30	146.38
31.20	146.16
32.10	145.87
33.00	145.52
33.40	145.36
34.00	145.02
34.45	144.74
34.97	144.40
35.67	144.16
36.25	143.87
36.70	143.59
37.15	143.30
37.60	143.01
38.05	142.72
38.57	142.39
39.30	142.07
39.70	141.91
40.30	141.58
40.83	141.24
41.53	141.00
42.10	140.71
42.63	140.38
43.35	140.13
44.25	139.77
44.65	139.61
45.33	139.23
46.03	138.99
46.68	138.66
47.38	138.42
47.95	138.13
48.48	137.79
49.18	137.55
49.75	137.27
50.20	136.98
50.65	136.69
51.10	136.41
51.55	136.12
52.00	135.83
52.45	135.54
52.90	135.26
53.35	134.97
53.80	134.68
54.25	134.40
54.70	134.11
55.15	133.82
55.60	133.53
56.05	133.25
56.64	132.82
56.78	132.58
57.40	132.10
57.85	131.81
58.30	131.52
58.89	131.10
59.03	130.86
59.65	130.37
60.24	129.95
60.38	129.71
61.01	129.22
61.46	128.94
62.04	128.51
62.18	128.28
62.81	127.79
63.26	127.50
63.71	127.21
64.29	126.79
64.43	126.55
65.06	126.07
65.51	125.78
65.99	125.39
66.20	125.12
66.99	124.49
67.26	124.11
67.53	123.91
67.91	123.65
67.97	123.59
68.94	122.61
69.11	122.28
69.29	122.01
69.56	121.61
69.78	121.11
69.78	121.11
70.30	120.67
70.30	120.67
71.13	119.37
71.15	118.79
71.36	118.45
71.58	118.02
71.60	117.64
71.81	117.30
72.03	116.87
72.05	116.49
72.26	116.16
72.48	115.72
72.50	115.35
72.71	115.01
72.93	114.58
72.93	114.29
72.95	113.91
73.16	113.57
73.38	113.14
73.40	112.76
73.61	112.42
73.83	111.99
73.83	111.70
73.85	111.32
74.06	110.99
74.28	110.55
74.28	110.27
74.30	109.89
74.51	109.47
74.73	109.12
74.73	108.83
74.75	108.45
74.96	108.03
75.18	107.68
75.18	107.40
75.18	107.11
75.20	106.73
75.41	106.39
75.63	105.96
75.63	105.67
75.65	105.29
75.86	104.95
76.08	104.52
76.08	104.24
76.10	103.86
76.31	103.52
76.53	103.09
76.53	102.80
76.55	102.42
76.76	102.08
76.98	101.65
76.98	101.36
76.98	101.01
77.43	100.58
77.43	100.21
77.45	99.84
77.66	99.50
77.88	99.07
77.90	98.69
78.11	98.35
78.33	97.92
78.35	97.54
78.56	97.20
78.80	96.68
79.01	96.34
79.25	95.81
79.46	95.47
79.69	94.98
80.15	94.47
81.03	93.81
81.94	93.90
82.91	94.37
83.30	94.84
83.75	95.41
84.19	95.91
84.31	96.27
84.66	96.85
85.09	97.34
85.21	97.71
85.54	98.20
85.66	98.57
85.99	99.07
86.11	99.43
86.44	99.93
86.56	100.29
86.89	100.79
87.01	101.16
87.34	101.65
87.46	102.02
87.79	102.51
87.91	102.88
88.26	103.45
88.69	103.95
88.81	104.32
89.26	104.89
89.71	105.46
89.96	105.72
90.49	106.10
90.94	106.39
91.60	106.72
92.29	106.82
92.74	106.82
93.19	106.82
93.64	106.82
94.09	106.68
94.46	106.58
95.11	106.45
95.75	106.22
96.34	106.13
97.08	105.92
97.42	105.77
98.14	105.53
98.73	105.40
99.27	105.53
100.04	105.67
100.72	105.96
101.38	106.26
101.91	106.82
102.03	107.14
102.72	107.59
103.11	108.05
103.56	108.62
104.01	109.20
104.46	109.77
104.91	110.35
105.34	110.84
105.47	111.21
105.79	111.52
106.02	111.74
106.26	112.07
106.71	112.65
107.16	113.22
107.59	113.78
108.04	114.15
108.49	114.43
108.94	114.78
109.54	115.20
109.95	115.35
110.84	115.44
111.52	115.15
112.19	114.74
112.90	114.15
113.04	113.91
113.71	113.32
113.88	113.06
114.12	112.71
114.33	112.49
114.57	112.13
114.79	111.64
115.24	111.14
115.71	110.54
115.92	110.12
116.13	109.90
116.37	109.55
116.59	109.05
117.04	108.55
117.50	107.98
117.96	107.39
118.62	106.82
119.22	106.39
119.55	106.18
120.27	105.91
120.87	105.82
121.67	105.97
122.45	106.39
122.90	106.68
123.42	107.01
123.82	107.47
124.37	108.05
124.70	108.36
124.92	108.58
125.17	108.91
125.62	109.49
126.07	110.06
126.52	110.63
126.97	111.21
127.52	111.78
127.89	112.13
128.09	112.41
128.41	113.04
129.27	113.62
129.65	114.07
130.10	114.43
130.55	114.72
131.13	115.12
131.99	115.78
132.87	116.25
133.25	116.73
133.70	117.02
134.36	117.39
135.25	117.80
135.95	118.17
136.40	118.45
137.07	118.83
138.22	119.18
138.88	119.32
139.55	119.46
140.00	119.46
140.45	119.46
140.90	119.46
141.35	119.46
