# age (Ma,)	GAST (Grossman&Joachimsky, 2022)
0	12.5
1	12.23460273
2	12.21671091
3	12.16701091
4	12.23730091
5	12.35571636
6	12.55476727
7	12.77837364
8	13.02651545
9	13.27739455
10	13.53422091
11	13.82479455
12	14.11809545
13	14.41413364
14	14.70198
15	14.98164455
16	15.25315727
17	15.51716818
18	15.77300727
19	16.01793727
20	16.25194818
21	16.47506
22	16.68726273
23	16.88854636
24	17.12701727
25	17.41373545
26	17.73318091
27	18.08536364
28	18.47026364
29	18.82517364
30	19.15007364
31	19.44498364
32	19.73533364
33	20.03088364
34	20.32917091
35	20.63017545
36	20.93390727
37	21.19855636
38	21.45958273
39	21.69879091
40	21.91618091
41	22.11175273
42	22.26055636
43	22.37503182
44	22.49223455
45	22.61217455
46	22.73483182
47	22.86021636
48	22.95974818
49	22.90805545
50	22.85090818
51	22.70928636
52	22.53989
53	22.40467909
54	22.29183091
55	22.17625545
56	22.05795273
57	21.93692273
58	21.82152545
59	21.73546364
60	21.64395727
61	21.54698636
62	21.44456091
63	20.92743091
64	20.34036364
65	19.11562727
66	17.85497182
67	18.48666818
68	19.74186909
69	22.22402818
70	22.84546727
71	23.46417909
72	24.08016364
73	24.15078091
74	24.16165
75	24.18071091
76	24.20795364
77	24.24336818
78	24.28697455
79	24.32512636
80	24.41436364
81	25.09909636
82	25.77838455
83	26.45220818
84	26.58964455
85	25.92841364
86	25.48247545
87	25.49894
88	25.93614727
89	27.16909727
90	27.57187
91	27.95594545
92	28.33729364
93	28.14586455
94	27.31350545
95	25.14686636
96	24.62649727
97	23.21042818
98	21.61126909
99	20.65289182
100	20.24629636
101	20.17998273
102	20.12186091
103	20.07191091
104	19.85811364
105	19.56498909
106	19.32417727
107	19.13347818
108	18.90650182
109	18.64222636
110	18.36704182
111	18.17072818
112	17.96736545
113	17.75309364
114	17.64714455
115	17.65477818
116	17.62968455
117	17.82745364
118	18.29684545
119	18.79973818
120	19.31337182
121	19.87610636
122	20.47476182
123	20.78805818
124	21.06146636
125	20.83974636
126	20.62621818
127	20.28620182
128	19.94262727
129	19.59086091
130	19.03094273
131	18.43693273
132	17.83475091
133	17.25682727
134	16.81085091
135	16.36761182
136	15.92709
137	15.48929545
138	15.05422818
139	14.63853364
140	14.36548182
141	14.08970273
142	13.81119636
143	13.52996273
144	13.25418364
145	13.13843909
146	13.09026909
147	13.04755364
148	13.01029273
149	12.97029455
150	13.02087909
151	13.10354636
152	13.18349636
153	13.26070909
154	13.53877455
155	13.85673273
156	14.17196364
157	14.51175727
158	15.01341364
159	15.50417091
160	16.00296909
161	16.64774818
162	17.28161818
163	17.89454909
164	18.48565727
165	19.07949273
166	19.64156545
167	20.10601545
168	20.57318273
169	21.04308727
170	21.32176909
171	21.55096818
172	21.78289455
173	22.01755818
174	22.22085182
175	22.32279545
176	22.42474909
177	22.50708273
178	22.51188636
179	22.55214455
180	22.62785727
181	22.73902455
182	22.88564636
183	23.06772273
184	23.21979909
185	23.34188545
186	23.40091182
187	23.41885818
188	23.40681455
189	23.39748818
190	23.39089909
191	23.38702727
192	23.35750273
193	23.31734545
194	23.26901636
195	23.21250545
196	23.14780273
197	23.09969818
198	23.07042182
199	23.04388273
200	23.02006091
201	22.99897636
202	23.02302909
203	23.09337909
204	23.16919364
205	23.25045273
206	23.33717636
207	23.46320455
208	23.62746727
209	23.76445727
210	23.87417455
211	23.95661909
212	23.96952091
213	23.95323
214	23.99421182
215	24.09246636
216	24.24798364
217	24.46078364
218	24.69695636
219	24.78338
220	24.82889455
221	24.83349
222	24.78123636
223	24.65657364
224	24.53736545
225	24.42361182
226	24.31531273
227	24.18614818
228	23.89279818
229	23.59399364
230	23.28972455
231	22.98203091
232	22.79240273
233	22.59732
234	22.41041909
235	22.45464
236	22.57552273
237	22.70458727
238	22.95716364
239	23.47162091
240	23.97516909
241	24.48107818
242	24.99046818
243	25.51135909
244	26.25042455
245	26.99493455
246	28.04902909
247	30.59485818
248	33.10894182
249	33.10177091
250	33.65323545
251	35.17379545
252	31.54452091
253	25.01856182
254	21.23819091
255	20.49142818
256	20.05947364
257	20.54862727
258	21.42140909
259	21.46839182
260	21.26836545
261	20.60553
262	19.74395545
263	18.82847182
264	17.99009182
265	17.31829545
266	16.66286273
267	16.02379364
268	15.40108818
269	14.75655455
270	14.21764273
271	13.67604273
272	13.11263455
273	12.52739818
274	11.91694455
275	11.28125364
276	10.76151545
277	10.31717
278	9.84759727
279	9.50212545
280	9.50727455
281	9.74190455
282	10.10063545
283	10.78314727
284	11.37006091
285	11.83015636
286	12.16343364
287	12.36989273
288	12.43608364
289	12.48680818
290	12.52389636
291	12.54734818
292	12.54423364
293	12.42436273
294	12.35425455
295	12.33392909
296	12.36337636
297	12.83662636
298	13.47304909
299	14.0668
300	14.72202909
301	14.21290636
302	14.02938182
303	16.97182545
304	14.37596455
305	12.73577909
306	16.37694909
307	18.50676455
308	19.29874545
309	19.29947182
310	18.69578364
311	16.64075091
312	14.48051364
313	13.89185182
314	13.85951
315	13.81967818
316	13.30969636
317	12.75193455
318	12.32273273
319	12.15189545
320	12.12152273
321	12.71823455
322	13.64646091
