> Age (Ma)	Global CO2 flux from cont. arcs (Mt C/yr)
751.28	4.15
741.13	4.02
727.80	4.00
716.39	4.15
707.52	4.48
699.28	4.85
690.41	5.26
682.81	5.67
675.21	6.09
668.25	6.57
661.92	7.00
656.22	7.30
647.98	7.49
638.45	7.32
631.47	7.09
624.48	6.89
618.77	6.84
610.53	7.07
604.83	7.44
599.77	7.78
595.34	8.11
590.27	8.45
585.84	8.66
578.87	8.77
570.61	8.63
563.63	8.40
557.28	8.18
550.29	7.97
541.41	7.90
530.62	7.88
519.84	7.88
513.49	7.74
507.77	7.48
502.68	7.17
496.96	6.86
491.88	6.50
487.43	6.27
479.81	6.06
471.57	6.27
467.14	6.57
462.71	6.86
458.27	7.14
454.48	7.39
446.87	7.56
439.25	7.33
434.80	7.07
430.35	6.71
426.53	6.36
422.71	6.02
418.90	5.76
413.17	5.35
405.55	5.00
399.83	4.75
393.48	4.53
384.59	4.38
375.72	4.55
371.29	4.89
368.13	5.23
364.97	5.60
362.44	5.97
358.65	6.45
354.22	6.87
350.43	7.28
347.26	7.56
340.93	7.72
333.30	7.44
328.22	7.12
323.77	6.73
319.31	6.40
314.86	6.13
308.51	5.97
299.00	6.16
292.04	6.48
285.71	6.89
280.01	7.32
274.31	7.78
269.89	8.27
266.10	8.79
262.94	9.34
260.42	9.74
256.63	10.24
252.84	10.82
250.32	11.28
246.52	11.71
243.36	12.03
237.03	12.29
229.41	12.06
223.05	11.78
218.61	11.59
211.62	11.44
204.02	11.74
200.23	12.15
196.43	12.65
193.91	13.07
190.75	13.48
187.59	13.94
184.44	14.42
181.91	14.88
177.49	15.29
174.32	15.59
167.99	15.80
159.73	15.59
153.38	15.34
147.66	15.16
141.32	15.04
134.35	15.29
129.92	15.62
125.49	16.00
121.06	16.40
117.90	16.76
113.47	17.09
105.86	17.36
96.33	16.94
91.24	16.49
86.79	16.01
82.33	15.45
77.23	14.83
72.14	14.24
67.68	13.68
63.22	13.09
59.39	12.45
56.20	11.89
52.38	11.28
49.19	10.70
45.36	10.12
42.18	9.65
38.35	9.09
33.90	8.66
28.81	8.20
21.82	7.79
16.09	7.40
10.37	7.07
3.38	6.73
