> Age (Ma)	Min Global CO2 flux from cont. arcs (Mt C/yr)
751.87	2.79
744.55	2.75
736.83	2.70
727.88	2.69
720.98	2.73
712.85	2.87
703.92	3.10
697.42	3.30
691.57	3.49
685.43	3.72
678.99	3.95
673.77	4.17
667.94	4.44
662.41	4.69
657.81	4.85
653.20	4.97
647.67	5.05
641.22	4.96
636.30	4.83
631.99	4.73
627.99	4.64
623.69	4.57
618.15	4.55
613.24	4.68
608.64	4.91
605.26	5.12
601.89	5.37
598.52	5.62
594.84	5.88
591.16	6.13
587.48	6.36
583.49	6.54
578.58	6.64
572.43	6.68
565.05	6.62
559.52	6.57
553.98	6.50
548.45	6.48
541.39	6.55
533.71	6.66
526.03	6.76
519.57	6.82
513.12	6.80
507.89	6.71
503.28	6.59
498.97	6.46
494.97	6.34
491.28	6.24
488.21	6.17
484.51	6.09
481.13	6.02
477.14	6.01
472.84	6.07
468.54	6.20
464.24	6.32
460.25	6.42
455.03	6.53
449.50	6.60
443.65	6.53
438.42	6.34
434.73	6.12
431.65	5.96
428.26	5.77
424.88	5.57
420.87	5.31
416.56	5.12
412.56	4.92
407.95	4.77
403.64	4.63
399.03	4.46
394.41	4.34
389.80	4.24
382.73	4.22
377.20	4.38
373.21	4.56
370.76	4.79
368.31	5.06
365.56	5.37
363.72	5.62
360.96	5.91
359.13	6.17
356.68	6.47
354.23	6.82
351.47	7.06
349.33	7.34
345.65	7.61
341.35	7.74
337.97	7.60
334.89	7.44
332.12	7.27
329.04	7.03
325.95	6.78
323.49	6.55
321.03	6.39
317.64	6.18
314.56	6.03
311.17	5.88
304.72	5.80
298.27	5.84
291.82	5.98
285.98	6.17
280.77	6.46
277.09	6.68
272.80	7.05
269.73	7.41
267.59	7.73
265.15	8.10
262.70	8.53
260.87	8.81
259.34	9.10
256.89	9.50
255.06	9.84
252.30	10.22
249.55	10.61
247.41	10.93
244.66	11.29
241.90	11.51
236.98	11.67
228.99	11.47
224.68	11.26
220.37	11.04
216.68	10.87
210.22	10.72
202.85	11.01
198.25	11.42
195.19	11.76
191.82	12.12
188.76	12.50
185.39	12.88
182.02	13.27
178.96	13.60
175.28	13.93
171.60	14.14
167.30	14.32
160.85	14.44
152.25	14.50
145.49	14.59
139.97	14.74
135.06	14.99
131.99	15.23
130.15	15.42
128.31	15.62
125.56	15.83
123.72	16.05
121.27	16.29
118.51	16.53
115.75	16.74
112.99	16.98
110.23	17.16
105.93	17.32
101.63	17.16
98.86	17.00
96.08	16.78
93.31	16.55
90.23	16.26
86.53	15.87
82.21	15.31
77.89	14.86
73.57	14.26
68.32	13.61
65.23	13.15
62.76	12.68
60.29	12.29
56.59	11.81
55.35	11.43
51.95	10.90
48.24	10.39
44.84	9.78
42.06	9.36
38.36	8.96
35.90	8.66
30.97	8.29
24.81	7.85
18.95	7.48
11.87	7.11
7.56	6.87
3.56	6.70
