> Long	Lat	Age
3.233	23.617	1994
14.433	-11.683	92
15.033	-12.183	119
13.883	-14.317	133
29.550	-2.867	583
29.150	-0.983	822
29.300	-1.083	803
34.650	28.133	87
34.950	22.850	137.5
34.467	22.700	146
33.617	22.050	131.6
10.583	-0.750	600
13.300	0.133	2143
34.150	-0.567	28
34.383	-0.483	14.3
34.400	-0.483	14.5
34.367	-0.550	7.5
34.500	-0.383	6.6
35.333	-0.067	12.6
36.100	-2.150	2
23.667	22.250	27.6
34.917	-15.117	123
35.600	-15.333	130.9
35.800	-15.533	133
0.000	20.500	262
-11.367	21.067	85
3.100	34.417	47
-4.650	32.567	43
13.817	-17.333	749
16.767	-20.033	126.6
16.117	-20.800	163.2
14.750	-20.350	746
14.183	-21.383	134
15.317	-21.967	500
17.833	-25.867	72.5
16.017	-26.467	48.9
15.717	-27.933	37
17.417	-28.167	514
18.833	-27.550	491
30.283	-23.250	2059
31.133	-24.000	2012
29.817	-24.967	1341
27.167	-23.867	1000
28.433	-25.417	1200
26.883	-28.400	1357
31.433	-28.750	900
29.083	-30.500	63.4
22.800	-29.883	1930
20.850	-32.483	74.6
30.800	12.483	559
35.850	-2.567	1.28
35.917	-2.767	0
35.950	-2.867	0.5
35.417	-3.183	3.91
36.600	-3.367	2.12
35.817	-4.217	1.1
35.400	-4.433	1.2
32.833	-7.700	1040
30.250	0.683	0
30.083	-0.233	0.45
34.200	2.833	15.5
34.283	2.150	22.1
34.283	0.867	32.5
34.183	0.683	40
32.850	-10.167	679
30.017	-15.183	106.5
26.867	-18.150	89
31.717	-19.200	209
32.300	-19.750	127
-123.750	56.450	344
-124.417	55.717	340
-118.883	52.383	202
-119.100	52.400	351
-119.150	52.400	325
-119.183	52.133	328
-116.500	51.500	356.5
-115.917	63.550	1785
-113.967	63.283	2592
-111.000	67.750	2595
-94.667	62.583	2686
-92.000	54.800	1824
-89.917	52.917	1005
-89.600	52.617	1145
-92.283	51.367	2566
-81.017	50.750	1635
-81.167	50.217	1695
-82.083	49.833	1072
-82.817	49.317	1740
-86.717	49.033	1023
-84.667	48.000	1048
-83.083	48.000	1015
-83.183	47.917	1872
-83.167	47.750	1108
-83.317	46.983	1103
-81.717	46.583	1560
-81.233	46.367	1196
-79.583	46.250	560
-79.333	46.250	568
-78.900	46.067	576
-75.867	45.583	930
-75.550	45.467	190
-74.000	45.500	117
-75.533	48.617	973
-75.883	49.583	2691
-75.000	49.767	2640
-73.000	49.500	879
-71.233	48.800	564
-71.067	48.550	642
-58.917	50.833	569
-59.250	55.250	572
-68.833	56.417	1873
-64.983	59.233	572
-75.850	60.283	2659
-33.150	68.617	50.3
-53.100	71.400	600
-51.700	65.383	172
-51.250	66.500	601
-51.750	65.417	2655
-50.000	62.667	150
-49.500	61.900	162
-48.050	61.233	1327
-45.167	61.133	1238
-115.433	48.433	94
-113.333	45.500	95
-104.450	44.483	44.5
-105.467	38.350	528
-105.367	38.267	511
-105.550	38.267	551
-107.050	38.250	579
-115.533	35.483	1415
