# Age	Deep_ocean_temp 	"(Scotese et al., ESR, 2021)"
0	4	
0.02	4	
3	4	
4	4	
6	3	
10	4	
15	8	
20	7	
25	10	
30	10	
33	9	
35	12	
40	15	
42	17	
45	16	
50	19	
55	18	
56	19	
60	16	
65	17	
70	15	
75	15	
80	16	
85	18	
90	21	
93	22	
95	20	
100	17	
105	15	
110	15	
113	12	
115	13	
120	16	
125	13	
130	13	
135	12	
140	12	
145	10	
150	13	
155	15	
156	16	
160	13	
165	15	
170	14	
171	13	
175	16	
177	17	
180	17	
185	14	
190	15	
195	16	
200	18	
203	14	
210	19	
215	19	
220	17	
223	16	
230	18	
235	16	
240	19	
245	22	
250	27	
254	12	
255	11	
259	12	
260	10	
265	8	
270	7	
275	5	
280	3	
285	5	
290	3	
295	1	
299	3	
300	1	
305	3	
310	3	
312	3	
318	2	
320	3	
325	9	
326	9	
330	11	
335	10	
339	11	
340	11	
346	11	
350	13	
355	15	
360	10	
365	12	
370	17	
373	16	
375	16	
380	11	
385	15	
390	13	
399	8	
403	15	
407	8	
413	12	
420	9	
425	7	
430	8	
437	10	
444	0	
450	6	
463	10	
470	11	
475	12	
480	13	
490	15	
500	14	
510	12	
520	18	
528	18	
540	22	
585	7.701438	
585.1202882	7.6949134	
585.3274331	7.6824636	
585.4086322	7.6771894	
585.4898314	7.6715631	
585.5710305	7.6655388	
585.6522296	7.6584029	
585.7907722	7.646812	
585.9293149	7.6321526	
586.0678576	7.6146579	
586.2064003	7.5970464	
586.3449429	7.579051	
586.8067519	7.5198574	
587.0277611	7.490973	
587.2487704	7.4620662	
587.4697797	7.433527	
587.690789	7.4052477	
587.9117983	7.377389	
587.9974722	7.3667946	
588.083146	7.356205	
588.1688199	7.3456478	
588.2544938	7.3356962	
588.3401676	7.3215575	
588.5312392	7.278532	
588.7223107	7.2350311	
588.9133823	7.1914282	
589.1044538	7.148139	
589.2955254	7.1063638	
589.3773158	7.0890803	
589.4591062	7.0724301	
589.5408966	7.0564971	
589.6226871	7.0432224	
589.7786512	7.0150414	
589.9346153	6.9960561	
590.0905794	6.9833097	
590.2465435	6.9706044	
590.4025076	6.9582305	
590.5481463	6.946733	
590.6937849	6.935432	
590.8394236	6.9244905	
590.9850622	6.9150229	
591.4705244	6.8826733	
591.9559865	6.851542	
592.074307	6.843926	
592.1926274	6.836267	
592.3109478	6.8285947	
592.4292682	6.82094	
592.5475886	6.8132334	
592.94199	6.7876968	
593.053371	6.7806411	
593.164752	6.7735958	
593.276133	6.7665734	
593.387514	6.7595825	
593.498895	6.7526307	
593.5624536	6.7486815	
593.6260123	6.7447281	
593.689571	6.7407532	
593.7531296	6.7359581	
593.9649918	6.7226057	
594.176854	6.7085299	
594.3887161	6.6937313	
594.4520856	6.6885595	
594.5154551	6.6831579	
594.5788245	6.67661	
594.6299069	6.6713467	
594.6809893	6.6657557	
594.7320718	6.6599722	
594.7831542	6.6564045	
594.9534288	6.6291723	
595.1237035	6.5986123	
595.2939782	6.5679016	
595.3671816	6.5546312	
595.440385	6.5413227	
595.5135884	6.5279884	
595.5867918	6.5147452	
595.8274012	6.4704094	
596.0680107	6.4251866	
596.3086202	6.3797855	
596.5492296	6.334105	
596.7029761	6.3049278	
596.8567225	6.2757435	
597.010469	6.2464495	
597.1642155	6.2173657	
597.3179619	6.1875267	
597.5902516	6.1367731	
597.8625413	6.0812078	
598.1348309	6.0221148	
598.4071206	5.9618869	
598.4954981	5.9421835	
598.5838756	5.9224072	
598.6722531	5.9025931	
598.7606306	5.8826122	
598.8534636	5.8617468	
598.9462966	5.8409534	
599.0391297	5.8203344	
599.1319627	5.7999392	
599.2247957	5.7804761	
599.3443321	5.7557793	
599.4638685	5.7325134	
599.5834049	5.7117329	
599.7029413	5.6892424	
599.8055018	5.6741614	
599.9080622	5.6624022	
600.0106227	5.6557837	
600.0662494	5.6521978	
600.1218762	5.6486168	
600.1775029	5.6450357	
600.2526116	5.6402111	
600.3277203	5.6353998	
600.402829	5.6305919	
600.492829	5.6248484	
600.582829	5.6191063	
600.672829	5.6132689	
600.942829	5.5967021	
601.212829	5.5803375	
601.482829	5.5639706	
601.752829	5.5475826	
601.842829	5.5421085	
601.932829	5.5366254	
602.022829	5.5311298	
602.112829	5.5256352	
602.3206972	5.5129466	
602.5285655	5.5002508	
602.7364337	5.4874973	
602.9443019	5.4747324	
603.637196	5.432384	
603.7104814	5.4278784	
603.7837668	5.423368	
603.8570521	5.4188528	
603.9303375	5.4143124	
604.1746222	5.3991756	
604.4189068	5.383935	
604.6631914	5.3685684	
604.8706844	5.3554158	
605.0781774	5.3421469	
605.2856704	5.3283286	
605.4931635	5.3164334	
606.1848068	5.2723126	
606.5589578	5.2484322	
606.9331089	5.2248197	
607.3072599	5.2010665	
607.6814109	5.177134	
607.78946	5.1702662	
607.8975091	5.1634083	
608.0055582	5.1566	
608.1136073	5.1498742	
608.4737709	5.1274557	
608.5428427	5.1232033	
608.6119145	5.1189537	
