> Longitude	Latitude	Age
13.847	-13.578	125
14.150	-14.248	125
14.284	-17.273	125
14.440	-13.331	125
14.984	-12.973	125
15.091	-13.023	125
15.350	-13.017	125
15.444	-13.049	125
15.555	-10.736	125
15.577	-12.992	125
15.609	-12.942	125
15.644	-9.789	125
15.672	-10.416	125
15.691	-12.873	125
15.811	-12.886	125
15.837	-12.383	125
15.855	-12.993	125
15.861	-12.716	125
15.862	-12.603	125
15.899	-13.081	125
15.912	-12.867	125
15.931	-12.628	125
15.937	-12.534	125
15.956	-12.974	125
15.988	-12.559	125
16.025	-12.798	125
16.038	-12.892	125
16.038	-12.723	125
16.082	-12.987	125
16.120	-12.798	125
16.127	-12.540	125
16.133	-12.899	125
16.183	-12.786	125
16.228	-12.666	125
16.375	-9.950	125
17.032	-10.927	125
17.075	-10.882	125
17.076	-11.203	125
17.100	-10.951	125
17.119	-11.636	133
17.138	-11.699	125
17.150	-10.898	125
17.166	-11.743	125
17.170	-10.857	125
17.180	-11.894	133
17.257	-11.888	125
17.258	-11.639	125
17.275	-11.838	133
17.382	-8.992	125
17.405	-11.227	133
17.422	-11.329	125
17.422	-10.864	133
17.478	-11.979	133
17.568	-8.677	125
17.589	-8.869	125
17.593	-11.326	133
17.596	-8.951	125
17.658	-8.767	125
17.699	-8.938	125
17.704	-13.244	125
17.878	-8.938	125
17.878	-8.849	125
17.891	-9.054	125
18.173	-9.335	125
18.276	-9.377	125
18.591	-10.425	125
18.816	-9.821	125
18.854	-9.713	125
18.869	-10.249	125
18.932	-10.186	125
18.957	-9.898	125
19.005	-9.816	125
19.005	-9.590	125
19.053	-9.501	125
19.074	-9.754	125
19.101	-9.631	125
19.273	-9.823	125
19.683	-9.890	125
19.704	-9.709	125
19.756	-9.668	125
19.781	-9.695	125
20.240	-9.291	125
20.292	-9.332	125
20.295	-9.421	125
20.335	-9.329	125
20.347	-9.306	125
20.351	-9.295	125
20.366	-9.192	125
20.370	-9.064	125
20.373	-9.152	125
20.380	-9.474	125
20.399	-9.414	125
20.423	-9.295	125
20.425	-8.924	125
20.445	-8.958	125
20.496	-8.526	125
20.553	-8.858	125
20.567	-9.036	125
20.571	-8.598	125
20.575	-8.465	125
20.579	-8.520	125
20.637	-7.831	125
20.637	-7.728	125
20.637	-7.639	125
20.656	-9.071	125
20.764	-8.172	125
20.806	-8.454	125
20.842	-8.769	125
20.863	-8.493	125
20.919	-7.461	125
21.035	-8.468	125
21.036	-8.023	125
21.042	-8.304	125
21.056	-8.400	125
21.084	-8.181	125
21.111	-7.907	125
21.125	-8.290	125
21.138	-8.434	125
21.139	-8.010	125
21.139	-7.797	125
21.180	-7.948	125
21.187	-8.188	125
21.188	-8.339	125
21.201	-7.722	125
21.215	-7.373	125
21.221	-8.092	125
21.249	-8.284	125
21.255	-8.400	125
21.270	-7.496	125
21.332	-7.599	125
21.332	-7.407	125
21.345	-8.147	125
21.366	-7.510	125
21.387	-7.797	125
21.393	-7.982	125
21.394	-7.606	125
21.396	-7.651	125
21.419	-8.081	125
21.420	-8.400	125
21.421	-7.496	125
21.428	-7.736	125
21.462	-8.167	125
21.483	-8.291	125
21.490	-7.626	125
21.504	-7.880	125
21.614	-7.880	125
21.614	-7.558	125
21.738	-7.455	125
120.000	-25.000	1800
126.129	-16.898	545
126.129	-16.901	545
127.125	-14.056	802
127.144	-14.121	802
127.154	-14.262	802
127.170	-14.111	802
127.198	-14.020	802
127.217	-14.053	802
127.272	-14.305	802
127.275	-14.230	802
127.291	-14.237	802
127.291	-14.562	810
127.292	-14.203	802
127.293	-14.233	802
127.319	-14.172	802
127.330	-14.217	802
127.333	-14.456	810
127.341	-14.430	810
127.357	-14.480	545
127.362	-14.110	802
127.363	-14.405	810
127.384	-14.437	545
127.385	-14.435	545
127.394	-14.396	810
127.402	-14.654	810
127.773	-14.783	810
136.345	-16.851	350
136.254	-16.836	380
136.302	-17.012	367
136.313	-16.968	382
136.324	-17.007	382
136.351	-16.769	360
136.532	-33.635	180
138.340	-32.373	172
139.013	-33.147	170
142.368	-30.420	260
24.021	-23.149	80
24.041	-23.157	80
24.062	-23.305	80
24.062	-23.093	80
24.097	-22.547	80
24.133	-23.223	80
24.147	-22.847	80
24.153	-23.246	80
24.169	-22.847	80
24.188	-23.104	80
24.190	-23.084	80
24.212	-23.274	80
24.228	-23.269	80
24.237	-22.878	80
24.349	-24.732	240
24.354	-23.299	80
24.366	-23.303	80
24.386	-23.309	80
24.386	-24.639	240
24.413	-24.658	240
24.435	-24.640	240
24.557	-22.553	80
24.573	-24.654	240
24.604	-22.587	80
24.614	-22.596	80
24.665	-24.649	240
24.684	-22.577	80
24.693	-24.530	245
24.705	-22.592	80
24.718	-24.394	245
24.735	-24.381	245
24.738	-24.617	240
24.757	-24.622	240
24.760	-22.629	80
24.764	-24.556	240
24.774	-24.650	240
24.798	-24.645	240
24.798	-24.666	240
24.805	-24.315	245
24.807	-24.174	245
24.828	-24.634	240
24.836	-24.377	245
24.878	-24.346	245
24.884	-24.239	245
24.905	-24.183	245
24.921	-24.222	245
24.940	-24.307	245
25.337	-21.440	80
25.356	-21.427	80
25.361	-21.306	93.1
25.370	-21.307	93.1
25.370	-21.437	80
25.375	-21.440	80
25.390	-21.455	80
25.394	-21.458	80
25.392	-21.311	80
25.416	-21.329	80
25.427	-21.405	80
25.435	-21.408	80
25.449	-21.421	80
25.453	-21.391	80
25.472	-21.501	80
25.474	-21.341	80
25.486	-21.463	80
25.515	-21.475	80
25.529	-21.299	80
25.533	-21.303	80
25.538	-21.395	80
25.540	-21.399	80
25.540	-21.311	80
25.546	-21.331	80
25.548	-21.346	80
25.551	-21.264	80
25.553	-21.258	80
25.557	-21.319	80
25.561	-21.383	80
25.561	-21.329	80
25.564	-21.345	80
25.573	-21.403	80
25.574	-21.318	80
25.576	-21.326	80
25.578	-21.101	80
25.580	-21.394	80
25.577	-21.422	80
25.580	-21.334	80
25.584	-21.348	80
25.585	-21.339	80
25.585	-21.302	80
25.591	-21.328	80
25.595	-21.271	80
25.595	-21.379	80
25.596	-21.331	80
25.598	-21.335	80
25.605	-21.306	80
25.613	-21.269	80
25.627	-21.249	80
25.640	-21.217	80
25.639	-21.214	80
25.644	-21.219	80
25.644	-21.234	80
25.648	-21.238	80
25.654	-21.454	80
25.678	-21.281	80
25.689	-21.520	80
25.694	-21.525	80
25.720	-21.404	80
25.722	-21.492	80
25.727	-21.278	80
25.754	-21.272	80
25.872	-21.497	80
25.872	-21.486	80
25.873	-21.499	80
27.858	-22.743	77
27.880	-22.702	77
27.884	-22.684	77
27.887	-22.688	77
27.897	-22.702	77
28.067	-22.659	77
28.079	-22.685	77
28.104	-22.652	77
25.578	-21.099	80
-59.025	-11.640	92
-58.995	-11.626	95
-58.991	-11.576	95
-58.990	-11.556	95
-58.987	-11.607	95
-58.987	-11.630	95
-58.980	-11.589	95
-58.979	-11.611	95
-58.974	-11.593	95
-58.966	-11.584	95
-39.445	-10.903	690
-129.478	64.241	445
-117.717	55.459	72
-117.715	55.454	74
-115.873	56.702	90
-115.872	56.862	90
-115.865	56.831	90
-115.864	56.704	90
-115.751	56.777	90
-115.662	56.784	90
-115.657	56.656	87
-115.646	56.894	87
-115.641	56.896	87
-115.636	56.974	88
-115.633	56.978	94
-115.632	56.939	86
-115.608	56.920	94
-115.510	56.656	95
-115.423	56.848	92
-115.131	56.984	103
-115.123	56.974	93
-115.013	56.341	87
-114.969	50.092	235
-114.870	56.843	90
-114.855	56.947	90
-114.842	56.955	88
-114.826	56.915	89
-113.833	62.140	441.4
-113.478	57.338	72.4
-113.460	57.370	70.3
-113.375	64.330	450
-113.358	63.466	459
-113.299	63.558	450.4
-113.292	63.521	435.4
-113.286	57.323	75.8
-113.242	57.343	88
-113.202	67.139	170
-113.182	57.307	79.4
-113.088	57.442	89
-113.041	57.254	72.6
-112.950	66.554	613
-112.886	66.560	613
-112.883	57.196	77.6
-112.777	67.164	170
-111.510	65.273	52.1
-111.467	66.014	173.1
-111.105	64.650	58.7
-111.099	64.648	61.1
-111.041	64.864	60
-111.034	64.560	60
-111.022	65.025	60
-111.019	64.976	60
-111.016	65.153	60
-111.014	65.001	60
-111.008	65.024	60
-110.994	65.136	60
-110.988	65.019	60
-110.990	65.168	60
-110.981	64.886	59.7
-110.978	64.891	59.7
-110.967	64.686	60
-110.963	65.002	60
-110.919	64.882	60
-110.913	64.471	60
-110.908	64.902	63.9
-110.901	64.499	60
-110.896	64.498	60
-110.895	65.034	60
-110.895	64.569	60
-110.893	64.464	60
-110.889	64.892	60
-110.862	63.609	523
-110.826	64.893	60
-110.818	63.636	540
-110.790	64.931	60
-110.774	64.514	60
-110.772	64.477	60
-110.769	64.510	60
-110.750	64.489	60
-110.728	63.593	522.9
-110.693	64.634	60
-110.680	64.658	55
-110.659	64.846	64.1
-110.660	64.682	52.1
-110.654	64.757	60
-110.643	64.849	60
-110.606	64.716	53.3
-110.600	64.723	53.3
-110.586	64.726	53.2
-110.581	64.737	53.1
-110.551	64.725	50.8
-110.543	64.697	67.6
-110.537	64.851	58.3
-110.513	64.861	60
-110.505	64.778	51.5
-110.470	64.909	60
-110.468	64.740	58.4
-110.450	64.913	60
-110.447	64.918	60
-110.383	65.022	60
-110.422	64.812	60
-110.413	64.934	60
-110.378	64.674	52.8
-110.355	64.468	60
-110.352	64.696	47.1
-110.350	64.954	60
-110.347	64.715	45.2
-110.344	64.704	47.5
-110.311	64.403	60
-110.311	64.458	60
-110.308	64.720	47.5
-110.292	64.465	60
-110.290	64.469	55.7
-110.278	64.488	60
-110.261	64.438	60
-110.262	64.433	60
-110.255	64.753	48
-110.245	64.484	55.2
-110.237	64.500	55.5
-110.233	64.502	56
-110.228	64.504	55.8
-110.222	64.548	55.8
-110.201	64.825	59.5
-110.181	64.400	60
-110.177	64.561	56
-110.172	64.641	69.1
-110.169	64.835	63.9
-110.167	64.821	68.2
-110.149	64.747	47.9
-110.148	64.349	60
-110.147	64.829	74.7
-110.144	64.350	60
-110.142	64.584	51.5
-110.139	64.758	60
-110.134	64.727	60
-110.126	64.483	60
-110.124	64.783	60
-110.111	64.737	54.7
-110.109	64.803	47.8
-110.104	64.697	60
-110.106	64.764	60
-110.099	64.473	60
-110.105	64.548	58.4
-110.105	64.534	61.3
-110.078	64.489	60
-110.056	64.476	60
-110.037	64.593	54.8
-110.017	64.456	60
-110.013	64.449	60
-110.002	64.451	60
-110.006	64.594	60
-109.995	64.442	60
-109.980	64.856	73
-109.963	64.808	60
-109.954	64.807	60
-109.951	64.826	71
-109.928	64.354	60
-109.920	64.795	60
-109.917	64.408	60
-109.894	64.704	70.5
-109.885	64.700	60
-109.862	64.542	60
-109.857	64.314	60
-109.857	64.318	60
-109.854	64.411	73.7
-109.852	64.306	60
-109.850	64.322	60
-109.849	64.845	72
-109.823	64.417	60
-109.823	64.435	60
-109.817	64.785	60
-109.817	64.326	73
-109.816	64.333	74
-109.796	64.728	73
-109.779	64.888	60
-109.710	64.706	60
-109.635	64.454	60
-109.629	64.450	60
-109.617	64.432	60
-109.609	64.436	60
-109.546	64.459	60
-109.495	64.537	60
-109.487	64.536	60
-109.468	64.458	60
-109.449	64.435	60
-109.448	64.328	60
-109.389	64.325	60
-109.372	64.325	60
-109.361	64.328	60
-109.355	64.431	60
-109.293	64.443	60
-109.241	64.430	60
-109.208	63.435	542.2
-109.146	70.199	271.2
-109.133	64.634	60
-109.123	70.194	286
-109.106	70.188	276
-109.021	70.185	256
-105.196	53.430	94
-105.196	53.418	100
-105.193	53.425	100
-105.192	53.403	100
-105.080	53.476	100
-105.070	53.574	100
-105.064	53.465	100
-105.058	53.474	100
-104.969	53.436	100
-104.964	53.489	100
-104.959	53.476	100
-104.955	53.444	100
-104.934	53.362	100
-104.930	53.400	100
-104.918	53.393	100
-104.910	53.408	100
-104.905	53.409	100
-104.905	53.272	100
-104.909	53.440	100
-104.902	53.401	100
-104.900	53.365	100
-104.897	53.296	100
-104.891	53.290	100
-104.890	53.305	100
-104.891	53.285	100
-104.881	53.351	100
-104.875	53.276	100
-104.876	53.390	100
-104.872	53.374	100
-104.870	53.380	100
-104.865	53.306	100
-104.870	53.396	100
-104.870	53.267	100
-104.859	53.303	100
-104.858	53.336	100
-104.858	53.341	100
-104.857	53.346	100
-104.854	53.703	100
-104.852	53.986	100
-104.864	53.259	100
-104.841	53.976	100
-104.842	53.331	100
-104.839	53.296	100
-104.835	53.308	100
-104.830	53.206	100
-104.820	53.293	100
-104.826	53.341	100
-104.818	53.284	100
-104.817	53.245	100
-104.815	53.238	100
-104.810	53.269	100
-104.808	53.292	100
-104.810	53.278	100
-104.803	53.262	100
-104.801	53.237	100
-104.798	53.259	100
-104.798	53.360	100
-104.790	53.258	94
-104.789	53.230	94
-104.790	53.289	94
-104.788	53.251	94
-104.785	53.285	94
-104.784	53.274	94
-104.777	53.265	94
-104.774	53.224	103.4
-104.766	53.576	94
-104.748	53.231	94
-104.677	53.511	94
-104.676	53.508	94
-104.669	53.511	94
-104.662	53.507	94
-104.653	53.500	94
-104.632	53.491	94
-104.625	53.484	94
-104.623	53.474	94
-104.609	53.471	94
-104.608	53.482	94
-104.601	53.479	94
-94.091	73.118	99
-94.083	72.833	96
-94.031	73.134	96
-93.900	72.860	96
-93.288	73.503	99
-92.927	73.334	96
-92.572	73.315	99
-92.556	73.467	99
-92.379	73.369	96
-92.315	73.472	96
-92.168	73.575	88
-91.987	73.285	99
-91.984	73.303	99
-91.967	73.291	99
-91.914	73.304	99
-91.905	73.294	99
-91.878	73.308	99
-91.877	73.301	99
-91.875	73.303	99
-90.965	73.475	99
-90.957	73.520	96
-90.860	63.057	214
-87.234	48.838	1800
-87.023	48.643	400
-86.643	48.744	1800
-85.355	52.426	1100
-83.913	52.836	160
-83.905	52.834	160
-83.897	52.846	177
-83.887	52.826	179
-83.885	52.832	176
-83.878	52.827	180
-83.850	52.842	160
-83.841	52.790	170
-83.838	52.793	170
-83.810	52.778	160
-83.861	69.164	600
-83.802	52.760	160
-83.788	52.764	160
-83.822	52.741	160
-83.768	52.890	190
-83.755	52.613	160
-83.782	52.697	136
-83.724	52.660	160
-83.721	52.666	160
-83.684	69.173	600
-83.595	52.761	160
-83.611	52.760	190
-83.475	69.094	600
-83.440	69.204	600
-83.316	69.172	600
-83.096	69.130	600
-82.867	69.060	600
-82.643	68.964	600
-80.195	48.463	154
-80.218	48.473	165
-80.185	48.483	152.1
-79.951	48.477	153
-79.951	48.477	146
-79.914	48.282	155.5
-79.909	48.215	155.6
-79.884	48.236	159
-79.880	48.220	156.9
-79.877	48.251	158.9
-79.835	48.142	155.3
-79.801	48.282	156
-79.801	47.473	134
-79.772	47.452	153.7
-79.751	48.116	152.6
-79.756	48.124	152.6
-79.759	47.490	142
-79.745	47.452	138.8
-79.717	47.479	155
-79.707	47.471	152
-79.678	47.437	154
-79.505	47.641	125
-79.372	47.569	142
-78.405	53.028	629
-76.585	49.684	1098
-76.144	49.442	1104
-76.133	49.502	1100
-72.384	51.992	550.9
